"","County","Case.Count.2020"
"1","Alameda",4380576
"2","Alpine",3377
"3","Amador",88219
"4","Butte",544461
"5","Calaveras",62188
"6","Colusa",101992
"7","Contra Costa",3317438
"8","Del Norte",39778
"9","El Dorado",304664
"10","Fresno",5624943
"11","Glenn",123210
"12","Humboldt",112259
"13","Imperial",2391781
"14","Inyo",40041
"15","Kern",6024122
"16","Kings",1504039
"17","Lake",113919
"18","Lassen",225900
"19","Los Angeles",59986768
"20","Madera",849190
"21","Marin",1226612
"22","Mariposa",17581
"23","Mendocino",168553
"24","Merced",1635848
"25","Modoc",11491
"26","Mono",52816
"27","Monterey",2016758
"28","Napa",389489
"29","Nevada",152225
"30","Orange",12888160
"31","Placer",858357
"32","Plumas",19087
"33","Riverside",13287899
"34","Sacramento",4707258
"35","San Benito",255942
"36","San Bernardino",12654631
"37","San Diego",11141844
"38","San Francisco",2292234
"39","San Joaquin",3880373
"40","San Luis Obispo",777455
"41","San Mateo",2071020
"42","Santa Barbara",1830376
"43","Santa Clara",4668572
"44","Santa Cruz",552013
"45","Shasta",425568
"46","Sierra",1615
"47","Siskiyou",53612
"48","Solano",1357428
"49","Sonoma",1522492
"50","Stanislaus",3257149
"51","Sutter",384065
"52","Tehama",174505
"53","Trinity",12533
"54","Tulare",3256658
"55","Tuolumne",98557
"56","Unassigned",284
"57","Ventura",2820010
"58","Yolo",611807
"59","Yuba",233475
